state,code,country,region,city,street_type,street_number,street_letter,street_bis,street_bis_complement,street_coordinate,numeral_number,numeral_letter,numeral_bis,numeral_bis_complement,numeral_coordinate,height_number,interior_group_type,interior_group_code,interior_type,interior_code,errors
1,K53-96-45,Colombia,Valle del Cauca,CALI,2,53,,,,,96,,,,,45,,,,,[]
1,K53-9B-45,Colombia,Valle del Cauca,Buga,2,53,,False,,,9,1,False,,,45,,,,,[]
1,K5N-38N-38,Colombia,Valle del Cauca,Cali,2,5,,False,,0,38,,False,,0,38,,,,,[]
1,K6-1-13,Colombia,Valle del Cauca,CALI,2,6,,,,,1,,,,,13,,,,,[]
1,K6-13-75,Colombia,Valle del Cauca,CALI,2,6,,,,,13,,,,,75,,,,,[]
1,K6-18-2,Colombia,Valle del Cauca,Cali,2,6,,False,,,18,,False,,,2,,,,,[]
1,K6-18-40,Colombia,Valle del Cauca,Cali,2,6,,False,,,18,,False,,,40,,,,,[]
1,K68-13B-30,Colombia,Valle del Cauca,CALI,2,68,,,,,13,1,,,,30,,,,,[]
1,K7-21-23,Colombia,Valle del Cauca,Cali,2,7,,False,,,21,,False,,,23,,,,,[]
1,K7-6-13,Colombia,Valle del Cauca,CALI,2,7,,,,,6,,,,,13,,,,,[]
1,K70-3D-4,Colombia,Valle del Cauca,CALI,2,70,,,,,3,3,,,,4,,,,,[]
1,K78A-33A-9,Colombia,Medellín,Antioquia,2,78,0,,,,33,0,,,,9,,,,,[]
1,K8-15-1,Colombia,Valle del Cauca,Cali,2,8,,False,,,15,,False,,,1,,,,,[]
1,K81-13A-125,Colombia,Valle del Cauca,CALI,2,81,,,,,13,0,,,,125,,,,,[]
1,K81-13B-69,Colombia,Valle del Cauca,CALI,2,81,,,,,13,1,,,,69,,,,,[]
1,K81-3A-125,Colombia,Valle del Cauca,Cali,2,81,,False,,,3,0,False,,,125,,,,,[]
1,K84A-14-74,Colombia,Valle del Cauca,CALI,2,84,0,,,,14,,,,,74,,,,,[]
1,K9-11-37,Colombia,Valle del Cauca,Cali,2,9,,False,,,11,,False,,,37,,,,,[]
1,K9-11-50,Colombia,Valle del Cauca,Cali,2,9,,False,,,11,,False,,,50,,,,,[]
1,K9-14B-12,Colombia,Valle del Cauca,CALI,2,9,,,,,14,1,,,,12,,,,,[]
1,K94C-2-64-T9A203,Colombia,Valle del Cauca,CALI,2,94,2,,,,2,,,,,64,1,9,0,203,[]
1,T7B-30-124,Colombia,Valle del Cauca,CALI,4,7,1,,,,30,,,,,124,,,,,[]
